fua,NBPERS19,area,mean_Q219,mean_loypredm2,mean_TP60IP19,mean_T_day,mean_T_night
Rouen,667978.0,2805755103.192669,21965.855626981727,11.017890391184666,0.14057243502031502,29.86666309524184,12.29321043475369
Saint-Brieuc,200462.0,1070437869.4904646,21924.812682702955,9.825831166779261,0.15032994283205797,31.928293353092293,14.284958967726723
Saint-Denis,310462.0,550767156.0730976,16911.117914591803,12.884170074396337,0.22798333129336276,27.98483770114428,12.52920592684294
Saint-Louis,55543.0,99289631.74332218,14120.0,12.838316214455798,0.231,31.468810062801538,13.223646461088556
Saint-Louis-Bâle (French part),106929.0,635487572.1697724,30459.00167400799,12.574008543792305,0.08685003132919975,29.870450941310544,15.277521303666148
Saint-Étienne,482183.0,1648576816.0023906,20872.37001304484,9.275488316415377,0.16433191962387725,31.41133007330428,15.736742625764967
Strasbourg,816353.0,2277402249.5753603,22428.83043242323,12.694897970580117,0.14771082730142474,30.235152404543804,15.612192318689027
Toulon,556305.0,981366610.6745249,21880.51843862629,13.798130039357101,0.20330370210585919,33.16904477899308,14.19912139177621
Toulouse,1388133.0,6583495819.997832,23474.791457302723,11.653716045168895,0.16123274642991703,36.98702795689945,18.112250234958843
Tours,506760.0,3646760977.5387383,22233.911891230564,10.839777448147128,0.14231655221406583,32.853680282443584,14.104885711941215
Troyes,203493.0,2816043590.6453466,20491.302845798135,9.704885707960027,0.11781966947266001,31.6831872492099,13.693543799549369
Valence,251298.0,1236128896.1329393,21933.263774482886,10.453243995938847,0.1412831976378642,32.011081868232566,14.485005555113213
Valenciennes,324701.0,734476439.4301367,18939.578689317248,10.602250177118531,0.1626663299466278,32.11958336976922,14.244184284604168
Vannes,205301.0,1194680292.715858,23054.148153199447,11.105836434678649,0.1491612510411542,30.66636780783593,12.894838792675456
